PPE Thruster Tables ,,,,,,,
,Position,,,Unit Vector,,,
Thruster #,X [m],Y [m],Z [m],X,Y,Z,Thrust (N)
1,-0.50,1.82,1.25,-1.00,0.00,0.00,5
2,0.00,1.82,1.50,0.00,0.00,1.00,5
3,0.50,1.82,1.25,1.00,0.00,0.00,5
4,0.00,2.32,1.25,0.00,1.00,0.00,5
5,-1.82,-0.50,1.25,0.00,-1.00,0.00,5
6,-1.82,0.00,1.50,0.00,0.00,1.00,5
7,-1.82,0.50,1.25,0.00,1.00,0.00,5
8,-2.32,0.00,1.25,-1.00,0.00,0.00,5
9,-0.50,-1.82,1.25,1.00,0.00,0.00,5
10,0.00,-1.82,1.50,0.00,0.00,1.00,5
11,0.50,-1.82,1.25,-1.00,0.00,0.00,5
12,0.00,-2.32,1.25,0.00,-1.00,0.00,5
13,1.82,0.50,1.25,0.00,1.00,0.00,5
14,1.82,0.00,1.50,0.00,0.00,1.00,5
15,1.82,-0.50,1.25,0.00,-1.00,0.00,5
16,2.32,0.00,1.25,1.00,0.00,0.00,5
17,-0.50,1.82,-1.25,-1.00,0.00,0.00,5
18,0.00,1.82,-1.50,0.00,0.00,1.00,5
19,0.50,1.82,-1.25,-1.00,0.00,0.00,5
20,0.00,2.32,-1.25,0.00,1.00,0.00,5
21,-1.82,-0.50,-1.25,0.00,-1.00,0.00,5
22,-1.82,0.00,-1.50,0.00,0.00,-1.00,5
23,-1.82,0.50,-1.25,0.00,1.00,0.00,5
24,-2.32,0.00,-1.25,-1.00,0.00,0.00,5
25,-0.50,-1.82,-1.25,1.00,0.00,0.00,5
26,0.00,-1.82,-1.50,0.00,0.00,-1.00,5
27,0.50,-1.82,-1.25,-1.00,0.00,0.00,5
28,0.00,-2.32,-1.25,0.00,-1.00,0.00,5
29,1.82,0.50,-1.25,0.00,1.00,0.00,5
30,1.82,0.00,-1.50,0.00,0.00,1.00,5
31,1.82,-0.50,-1.25,0.00,-1.00,0.00,5
32,2.32,0.00,-1.25,1.00,0.00,0.00,5
